matrix,n,nnz,lambda_min,lambda_max,cond,tol,method,relative_error,residual_relative,iterations,elapsed_seconds,converged
spa1.mtx,1000,182434,4.8797885965991927e-01,9.9945576249608962e+02,2.0481538138611727e+03,1e-04,Jacobi,1.7712811483058177e-03,9.4770869881148954e-05,115,0.013161,True
spa1.mtx,1000,182434,4.8797885965991927e-01,9.9945576249608962e+02,2.0481538138611727e+03,1e-04,Gauss-Seidel,1.8205942995187026e-02,7.7944386459677679e-05,9,0.002289,True
spa1.mtx,1000,182434,4.8797885965991927e-01,9.9945576249608962e+02,2.0481538138611727e+03,1e-04,Gradiente,3.4574700773010995e-02,9.9096865625712292e-05,143,0.016581,True
spa1.mtx,1000,182434,4.8797885965991927e-01,9.9945576249608962e+02,2.0481538138611727e+03,1e-04,Gradiente coniugato,2.0789760009956970e-02,9.7779269000204192e-05,49,0.005658,True
spa1.mtx,1000,182434,4.8797885965991927e-01,9.9945576249608962e+02,2.0481538138611727e+03,1e-06,Jacobi,1.7979295433428916e-05,9.6196669270707404e-07,181,0.020786,True
spa1.mtx,1000,182434,4.8797885965991927e-01,9.9945576249608962e+02,2.0481538138611727e+03,1e-06,Gauss-Seidel,1.2996939585758490e-04,5.5787620800250931e-07,17,0.004176,True
spa1.mtx,1000,182434,4.8797885965991927e-01,9.9945576249608962e+02,2.0481538138611727e+03,1e-06,Gradiente,9.6804573106260418e-04,9.9808908457054617e-07,3577,0.407801,True
spa1.mtx,1000,182434,4.8797885965991927e-01,9.9945576249608962e+02,2.0481538138611727e+03,1e-06,Gradiente coniugato,2.5529092776929791e-05,9.7419764609550642e-07,134,0.015531,True
spa1.mtx,1000,182434,4.8797885965991927e-01,9.9945576249608962e+02,2.0481538138611727e+03,1e-08,Jacobi,1.8249788797464316e-07,9.7643919986901081e-09,247,0.028047,True
spa1.mtx,1000,182434,4.8797885965991927e-01,9.9945576249608962e+02,2.0481538138611727e+03,1e-08,Gauss-Seidel,1.7097328991395641e-06,7.3403779161169620e-09,24,0.005928,True
spa1.mtx,1000,182434,4.8797885965991927e-01,9.9945576249608962e+02,2.0481538138611727e+03,1e-08,Gradiente,9.8163637458538743e-06,9.9920138450928632e-09,8233,0.933971,True
spa1.mtx,1000,182434,4.8797885965991927e-01,9.9945576249608962e+02,2.0481538138611727e+03,1e-08,Gradiente coniugato,1.3198404460846638e-07,9.0327503898882700e-09,177,0.020230,True
spa1.mtx,1000,182434,4.8797885965991927e-01,9.9945576249608962e+02,2.0481538138611727e+03,1e-10,Jacobi,1.8524363804272221e-09,9.9112931081245770e-11,313,0.035074,True
spa1.mtx,1000,182434,4.8797885965991927e-01,9.9945576249608962e+02,2.0481538138611727e+03,1e-10,Gauss-Seidel,2.2480879184284223e-08,9.6518681530347768e-11,31,0.007612,True
spa1.mtx,1000,182434,4.8797885965991927e-01,9.9945576249608962e+02,2.0481538138611727e+03,1e-10,Gradiente,9.8203864384222132e-08,9.9899950751778766e-11,12919,1.446636,True
spa1.mtx,1000,182434,4.8797885965991927e-01,9.9945576249608962e+02,2.0481538138611727e+03,1e-10,Gradiente coniugato,1.2031104189041110e-09,7.9435923072105494e-11,200,0.022655,True
spa2.mtx,3000,1633298,2.1235317898526804e+00,2.9983585105002835e+03,1.4119678004482778e+03,1e-04,Jacobi,1.7662465191132216e-03,9.5368820951082192e-05,36,0.043607,True
spa2.mtx,3000,1633298,2.1235317898526804e+00,2.9983585105002835e+03,1.4119678004482778e+03,1e-04,Gauss-Seidel,2.5988955874518089e-03,4.1407952630915929e-05,5,0.013497,True
spa2.mtx,3000,1633298,2.1235317898526804e+00,2.9983585105002835e+03,1.4119678004482778e+03,1e-04,Gradiente,1.8129645117112601e-02,9.9009520058054008e-05,161,0.187825,True
spa2.mtx,3000,1633298,2.1235317898526804e+00,2.9983585105002835e+03,1.4119678004482778e+03,1e-04,Gradiente coniugato,9.8211284572646725e-03,9.9135694151643777e-05,42,0.050317,True
spa2.mtx,3000,1633298,2.1235317898526804e+00,2.9983585105002835e+03,1.4119678004482778e+03,1e-06,Jacobi,1.6667561367426849e-05,8.9996816648816764e-07,57,0.066965,True
spa2.mtx,3000,1633298,2.1235317898526804e+00,2.9983585105002835e+03,1.4119678004482778e+03,1e-06,Gauss-Seidel,5.1416412594561730e-05,7.8472827808836837e-07,8,0.019996,True
spa2.mtx,3000,1633298,2.1235317898526804e+00,2.9983585105002835e+03,1.4119678004482778e+03,1e-06,Gradiente,6.6942292538650205e-04,9.9923710621854533e-07,1949,2.257201,True
spa2.mtx,3000,1633298,2.1235317898526804e+00,2.9983585105002835e+03,1.4119678004482778e+03,1e-06,Gradiente coniugato,1.1979846178347574e-04,9.0898603782493318e-07,122,0.142114,True
spa2.mtx,3000,1633298,2.1235317898526804e+00,2.9983585105002835e+03,1.4119678004482778e+03,1e-08,Jacobi,1.5728698983963330e-07,8.4927410944363937e-09,78,0.091838,True
spa2.mtx,3000,1633298,2.1235317898526804e+00,2.9983585105002835e+03,1.4119678004482778e+03,1e-08,Gauss-Seidel,2.7943220231673299e-07,4.2709712352457190e-09,12,0.029644,True
spa2.mtx,3000,1633298,2.1235317898526804e+00,2.9983585105002835e+03,1.4119678004482778e+03,1e-08,Gradiente,6.8652401170609378e-06,9.9780030351573492e-09,5087,6.042837,True
spa2.mtx,3000,1633298,2.1235317898526804e+00,2.9983585105002835e+03,1.4119678004482778e+03,1e-08,Gradiente coniugato,5.5866605930815393e-07,9.5989452731102471e-09,196,0.237844,True
spa2.mtx,3000,1633298,2.1235317898526804e+00,2.9983585105002835e+03,1.4119678004482778e+03,1e-10,Jacobi,1.4842714045158684e-09,8.0143551215532709e-11,99,0.119354,True
spa2.mtx,3000,1633298,2.1235317898526804e+00,2.9983585105002835e+03,1.4119678004482778e+03,1e-10,Gauss-Seidel,5.5707403316781983e-09,8.5222571260422353e-11,15,0.037929,True
spa2.mtx,3000,1633298,2.1235317898526804e+00,2.9983585105002835e+03,1.4119678004482778e+03,1e-10,Gradiente,6.9378140984684794e-08,9.9864498008223704e-11,8285,9.916285,True
spa2.mtx,3000,1633298,2.1235317898526804e+00,2.9983585105002835e+03,1.4119678004482778e+03,1e-10,Gradiente coniugato,5.3242291896445471e-09,9.8234954173458272e-11,240,0.284161,True
vem1.mtx,1681,13385,1.2321162236174535e-02,3.9999904971686959e+00,3.2464392729322668e+02,1e-04,Jacobi,3.5403807574041005e-03,9.9940365916860582e-05,1314,0.014897,True
vem1.mtx,1681,13385,1.2321162236174535e-02,3.9999904971686959e+00,3.2464392729322668e+02,1e-04,Gauss-Seidel,3.5069725970335152e-03,9.9326926251247432e-05,659,0.017585,True
vem1.mtx,1681,13385,1.2321162236174535e-02,3.9999904971686959e+00,3.2464392729322668e+02,1e-04,Gradiente,2.7045724093632301e-03,9.9339075319238184e-05,890,0.012976,True
vem1.mtx,1681,13385,1.2321162236174535e-02,3.9999904971686959e+00,3.2464392729322668e+02,1e-04,Gradiente coniugato,4.0827931586823762e-05,7.1112982027321772e-05,38,0.000561,True
vem1.mtx,1681,13385,1.2321162236174535e-02,3.9999904971686959e+00,3.2464392729322668e+02,1e-06,Jacobi,3.5400733427808401e-05,9.9931688001891693e-07,2433,0.027205,True
vem1.mtx,1681,13385,1.2321162236174535e-02,3.9999904971686959e+00,3.2464392729322668e+02,1e-06,Gauss-Seidel,3.5266968490874260e-05,9.9886134122552372e-07,1218,0.032461,True
vem1.mtx,1681,13385,1.2321162236174535e-02,3.9999904971686959e+00,3.2464392729322668e+02,1e-06,Gradiente,2.7133391831258638e-05,9.9667850541392613e-07,1612,0.023518,True
vem1.mtx,1681,13385,1.2321162236174535e-02,3.9999904971686959e+00,3.2464392729322668e+02,1e-06,Gradiente coniugato,3.7323397015006572e-07,8.9013500871113286e-07,45,0.000666,True
vem1.mtx,1681,13385,1.2321162236174535e-02,3.9999904971686959e+00,3.2464392729322668e+02,1e-08,Jacobi,3.5397659362799523e-07,9.9923010619086433e-09,3552,0.040172,True
vem1.mtx,1681,13385,1.2321162236174535e-02,3.9999904971686959e+00,3.2464392729322668e+02,1e-08,Gauss-Seidel,3.5174569646925457e-07,9.9624434498789058e-09,1778,0.047247,True
